category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
licensing,Boeing,Boeing Intellectual Property Management - Aerospace Licensing Programs,Licensing intake mailbox,IPM-Licensing@boeing.com,https://www.boeing.com/company/licensing,email,"Published mailto behind 'If you have any questions, please contact us via email' for all aerospace licensing programs (MRO, modifications, simulators, BBJ, freighter conversions). Genuine licensing intake."
licensing,Boeing,Boeing IPM - software/data products,IPM software inquiries,IPM@boeing.com,https://www.boeing.com/company/licensing,email,"Published as 'For more information on software contact IPM@boeing.com' on the Boeing licensing page (Simplified English Checker, CIPHER, EPIC, CSDT)."
licensing,Boeing,Boeing Consumer Products Licensing,Trademark/consumer licensing intake,ipmcpl@boeing.com,https://www.boeing.com/company/licensing,email,"Consumer-product trademark licensing intake (apparel, toys, models, games). NOT aerospace technology licensing - note before outreach."
licensing,Boeing,Boeing licensing questionnaires,Licensing application portal,,https://licensing.boeingservices.com/licensingquestionnaire,portal,Exact portal URL published on the Boeing licensing page as the required first step for all non-simulator licensing inquiries.
licensing,Boeing,Boeing simulator licensing,Simulator licensing portal,,https://licensing.boeingservices.com/simulatorlicensingquestionnaire,portal,"Separate questionnaire for flight-training-device manufacturers, end users and maintenance providers."
innovation,Boeing,Boeing Innovation / Phantom Works,No published email,,https://www.boeing.com/innovation,portal,"Live Boeing innovation landing page (Phantom Works, quantum, Cascade, accessibility). No contact email and no external partner intake published. Boeing HorizonX has no live page - every HorizonX/Boeing-ventures URL tested returned 404."
licensing,Northrop Grumman,Brand Licensing,Brand licensing intake,brand.licensing@ngc.com,https://news.northropgrumman.com/contact,email,Listed under 'Brand Licensing' on Northrop's own media contacts page. Trademark/brand licensing only - NOT technology licensing or tech scouting.
innovation,Northrop Grumman,Corporate News Bureau,Media/news bureau,newsbureau@ngc.com,https://news.northropgrumman.com/contact,email,"Corporate news bureau mailbox. Press/media only; Northrop publishes no innovation, ventures or technology-scouting email."
innovation,Northrop Grumman,Aeronautics Systems - media contact,Matt Seyler (media relations),matthew.seyler@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact with direct phone on the corporate media contacts page. Press only - not a technology partnership channel.
innovation,Northrop Grumman,Defense Systems - media contact,Krista Alestock (media relations),krista.alestock@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
innovation,Northrop Grumman,Mission Systems - media contact,Jenn Womble (media relations),jennifer.womble@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
innovation,Northrop Grumman,Space Systems - media contact,Haley Johnson (media relations),haley1.johnson@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
innovation,Northrop Grumman,Space Systems - media contact,Caroline Mays (media relations),caroline.mays@ngc.com,https://news.northropgrumman.com/contact,email,Sector media contact. Press only.
scouting,Northrop Grumman,Idea Submissions policy,Closed - does not accept unsolicited IP,,https://www.northropgrumman.com/who-we-are/contact-us-northrop-grumman/idea-submissions,portal,"Official notice: Northrop Grumman does not accept unsolicited ideas, inventions or proposals. Do NOT pitch through the media mailboxes above - read this before outreach."
venture,Northrop Grumman,Business Ventures,Operated subsidiaries - no investment intake,,https://www.northropgrumman.com/who-we-are/business-ventures,portal,"'Business Ventures' is a portfolio of operated subsidiaries (AOA Xinetics, COI Ceramics, Cutting Edge Optronics, Microelectronics, Scaled Composites, SYNOPTICS, Sonoma Photonics), not a venture fund. No contact email published."
venture,Lockheed Martin,Lockheed Martin Ventures and Strategic Investments,Venture contact web form,,https://www.lockheedmartin.com/en-us/who-we-are/lockheed-martin-ventures/contact-lockheed-martin-ventures.html,portal,"Official LM Ventures contact page is a web form (first name, last name, email, message). No investment email address is published anywhere on the Ventures pages or team bios."
venture,Lockheed Martin,LM Ventures - international fund expansion (press),Melissa Mathews (International Media Relations),International.Media@lmco.com,"https://news.lockheedmartin.com/2026-07-16-Lockheed-Martin-Earmarks-100-Million-for-Venture-Capital-Investments-in-U-K-,-Europe",email,"Only published Lockheed address tied to LM Ventures: 'For further information: Melissa Mathews, International.Media@lmco.com' on the $100M UK/Europe venture-fund release. Press/international media only."
licensing,Lockheed Martin,Lockheed Martin Technology Licensing,Licensing request web form,,https://www.lockheedmartin.com/en-us/lockheed-martin-technology-licensing.html,portal,"Official technology-licensing page with a 'Licensing Request' web form (contact details, organization, licensing request dropdown). No email published."
innovation,Lockheed Martin,LM Evolve (innovation org),No published email,,https://www.lockheedmartin.com/en-us/who-we-are/lm-evolve.html,portal,LM Evolve is Lockheed's innovation organisation. Its only contact route is the corporate Contact Us web form; no innovation/scouting email is published. Media Relations page shows email labels with no plaintext addresses.
venture,RTX,RTX Ventures,Venture inquiries - no email published,,https://www.rtx.com/what-we-do/rtx-ventures,portal,"RTX Ventures page publishes no email; its 'Contacts' link goes to rtx.com/contacts, which lists only a postal address and corporate switchboard (781) 522-3000 for general inquiries."
licensing,RTX,"RTX Patent Licensing (60,000+ patents)",Licensing inquiries - email obfuscated,,https://www.rtx.com/contacts/licensing,portal,"RTX licensing page exposes only Cloudflare-protected mailto links rendered as '[email protected]'. No plaintext address is published, so none is recorded here (deliberately not decoded)."
innovation,RTX,RTX BBN Technologies,No published email,,https://www.bbn.com/contact/,portal,"BBN research org (AI/ML, cyber, quantum, networking). Contact and research pages publish no email - only corporate switchboard and forms."
innovation,General Dynamics,GDIT Emerging Technology - partner and venture programs,Oliver Nutt (Media Relations),Oliver.Nutt@gdit.com,https://www.gdit.com/about-gdit/press-releases/gdit-enhances-emerging-and-commercial-technology-programs/,email,Published media-relations contact on the release announcing GDIT's emerging-technology program and startup/VC partner intake (VP Emerging Technology: Geoffrey Williams; VP technology solutions and alliance partnerships: Mathew Soltis). Media only.
innovation,General Dynamics,GDIT Emerging Technology - emerging tech partners,Partner intake web form,,https://www.gdit.com/about-gdit/emerging-technology/,portal,"GDIT's page for working with early-stage companies, VC/accelerator networks and research institutions. Only contact route is GDIT's general web form - no partnership email published."
innovation,General Dynamics,General Dynamics Mission Systems,Media info mailbox,mediainfo@gd-ms.com,https://gdmissionsystems.com/articles/2017/08/21/introducing-techscout-for-suppliers,email,"GDMS media address on the 2017 'TechScout' open-innovation release. Media only AND 2017 vintage - likely stale, verify before use."
scouting,General Dynamics,GD Mission Systems Innovation Sourcing Network / TechScout,Supplier and innovator registration,,https://gdmissionsystems.com/en/about-us/suppliers/innovation-sourcing-network/,portal,"ISN/TechScout (the GDMS open-innovation intake) has been folded into the GD Strategic Sourcing team; intake is now the GD Enterprise Supplier Registration Portal. Sits on the SBLO/procurement boundary - flagged, may overlap the other researcher."
innovation,BAE Systems Inc.,FAST Labs + Technology Scouting Group - Deep-Tech Accelerator (with MassChallenge),Cohort application portal,,https://masschallenge.org/programs-baesystems_deep-tech/,portal,"THE most on-target BAE channel: FAST Labs and its Technology Scouting Group select deep-tech, dual-use startups (TRL4+, US or friendly). No email published - applications via MassChallenge. Page is the 2025 cohort; confirm the current cycle is open. Note: masschallenge.org returns HTTP 403 to curl/bot fetches (readable in a browser and via r.jina.ai)."
innovation,BAE Systems Inc.,BAE Systems Inc. media relations,Paul Roberts (media relations),paul.a.roberts@baesystems.us,https://www.nasdaq.com/press-release/bae-systems-awarded-$12-million-to-boost-effectiveness-of-radio-frequency-based,email,"Named contact in the BAE Systems Inc. release footer ('For more information, please contact'). Press only - not a FAST Labs partnership channel. baesystems.com blocks automated fetching, so contact block was read from the syndicated release."
innovation,BAE Systems Inc.,BAE Systems Inc. media relations,Andrew Eversden (media relations),andrew.eversden@baesystems.us,https://www.nasdaq.com/press-release/bae-systems-continues-building-critical-structures-columbia-class-submarines-2025-04,email,Named contact in the BAE Systems Inc. release footer. Press only.
partnership,BAE Systems Inc.,"FAST Labs (Burlington, MA) directory entry",Facility webmaster inbox,webmaster.nashua@baesystems.com,https://www.airframer.com/direct_detail.html?company=162145,email,"FLAGGED LOW VALUE: third-party directory (airframer.com) 'Contact Details' email for the BAE Systems Electronic Systems - FAST Labs entry. It is a facility webmaster inbox, not a technology-scouting channel, and is unverified. Do not treat as a partnership contact."
innovation,L3Harris,Corporate Media Relations,Corporate media line (Sara Banda),Media@L3Harris.com,https://www.l3harris.com/newsroom,email,"L3Harris publishes only media contacts - no innovation, ventures, corporate-development or partnership email exists on its site. This corporate media line is the only general published mailbox and appears in every BusinessWire release footer."
innovation,L3Harris,Newsroom media contacts,Christina Hoggatt (media relations),Christina.Hoggatt@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
innovation,L3Harris,Newsroom media contacts,Sharon Parsley (media relations),Sharon.Parsley@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
innovation,L3Harris,Newsroom media contacts,Eileen Lainez (media relations),Eileen.Lainez@L3Harris.com,https://www.l3harris.com/newsroom,email,Press only - listed on the L3Harris newsroom contacts block.
