category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
partnership,Anduril Industries,Lattice Partner Program,Partner program contact (no named person),contact@anduril.com,https://www.anduril.com/lattice/lattice-partner-program,email,"Displayed under a 'Contact' heading on the Lattice Partner Program page itself (mailto link), i.e. this IS the published contact for the partner program. General company inbox - Anduril publishes no partner-specific mailbox."
media,Anduril Industries,Press Kit,Press/media inquiries,media@anduril.com,https://www.anduril.com/press,email,"PRESS ONLY. Page meta + on-page text: 'For press and media inquiries, please contact: media@anduril.com'. Not a business-development or partner channel."
partnership,Palantir Technologies,Partnership Vanguard / partner network (commercial + USG + technical + international),Partner intake (no email published),,https://www.palantir.com/partnerships/,portal,"Main partner-overview page for Palantir's 'Vanguard' partner network (Commercial, US Government, Technical, International). Page publishes NO email and no visible application form; it is a navigational/overview page. No partner mailbox found anywhere on palantir.com."
partnership,Palantir Technologies,FedStart (accreditation-as-a-service for ISVs/partners),FedStart intake,"",https://www.palantir.com/offerings/fedstart/,portal,"FedStart page embeds an on-page 'Contact Us' form ('Business Email', 'Company Name', 'Additional Context', federal-cloud-accreditation and direct-contracting questions) - this is the practical partner/ISV intake for FedStart. No email address published."
media,Palantir Technologies,Media relations (Contact page),Press and media team,media@palantir.com,https://www.palantir.com/contact/,email,"PRESS/MEDIA ONLY - mailto labelled 'Contact our press and media team' in the Contact page content. Genuine Palantir mailbox, but not a partner or BD channel. NOTE: the widely-seen string melissam@palantir.com on Palantir pages is a Contentful redirect-map artifact (redirect target for /explore/gartner-data-analytics-rsvp/) and was deliberately NOT reported."
partnership,Scale AI,Public sector / national security sales (alliance + partner inquiries),Sales/partnership intro,,https://scale.com/contact,portal,"Only channel found. Page text: 'Join leading enterprises partnering with Scale AI. Book a 1:1 intro call with us to get started.' JS-only site; no email address in HTML. Covers national security / US public sector."
partnership,Scale AI,Data Partnerships program,Data-partner intake,,https://scale.com/data-partnership,portal,"Scale's published 'Data Partnerships' program page. No email address in page HTML (JS-rendered); recorded as portal. ZERO email yield for Scale AI."
partnership,Govini (rebranded to 'Air'),Contact / partnerships,,,https://govini.com/contact,portal,"IMPORTANT: Govini's site now announces 'Govini is now Air' (same domain). Contact page is a pure web form (First/Last name, Work email, Company, Phone, 'How can we help?') - no email published. The only email-shaped string in the HTML is the form placeholder 'email@company.com', which is NOT a real address and is not reported. /partners/ returns 404."
media,Vannevar Labs,Media Coverage page,Press contact,press@vannevarlabs.com,https://vannevarlabs.com/media-coverage/,email,"PRESS ONLY. On-page Sanity text: 'Writing a story? Connect with Vannevar at press@vannevarlabs.com'. Vannevar publishes no partner/ecosystem page and no general or partner mailbox (vannevarlabs.com/contact and /partners both 404)."
partnership,Rebellion Defense,CONTACT US form (general inquiries),General inquiries,inquiries@rebelliondefense.com,https://rebelliondefense.com/,email,"PROVENANCE CAVEAT: this string was found in the site's Webflow form configuration (the emailTo recipient for the 'Contact by {{fullname}}' CONTACT US submission), NOT displayed as visible text on the page. It is the real inbox behind their contact form and should accept mail, but treat as a form-derived, general-contact address rather than a hand-published partner mailbox. No partner program page found."
partnership,Rebellion Defense,On-site contact form,,,https://rebelliondefense.com/#contact,portal,"Footer/nav 'CONTACT US' anchor on the homepage - there is no /contact page (returns 404). Form-only intake; no partner/ecosystem program page found."
partnership,Second Front Systems,Contact / general,General inbox,info@secondfront.com,https://secondfront.com/contact,email,"General company inbox. Page text 'Email us anytime.' - second of the 'Additional ways to connect' listings. Re-verified this round on the non-www URL."
partnership,Second Front Systems,Contact / security team,Security team,security@secondfront.com,https://secondfront.com/contact,email,"Vulnerability/security reporting inbox ('Contact our team for further assistance' / 'Email security team'). NOT a BD channel - listed for completeness because it is a genuine published Second Front address. Exclude for partnership outreach."
partnership,Second Front Systems,2F Partner Program,,,https://www.secondfront.com/partners/,portal,"The actual 'Second Front Partner Program: Access the Public Sector & DoD Products' page. Publishes NO email (raw HTML and rendered both checked); routes to the site contact form. Their partner-referral page (https://www.secondfront.com/partners/partner-referral/) likewise has no email."
partnership,Raft (teamraft.com),Partner Program contact form,,,https://teamraft.com/partner-program-contact-us/,portal,"This is the Raft Partner Program intake. Page text: 'Fill out the form to connect with our partnerships team' with an Email field - form-only, no address published. NOTE: no email appears anywhere on this page; the 403-to-curl is bypassed via r.jina.ai."
partnership,Raft (teamraft.com),Contact Us,General inbox,info@teamraft.com,https://teamraft.com/contact/,email,"General inbox on the Contact Us page, whose text explicitly invites partnership inquiries: '...exploring a partnership, or just want to connect, reach out...'. Best published email for Raft partner outreach since the partner form page publishes none."
partnership,Altana AI,Partner with Altana,,,https://altana.ai/partner,portal,"Dedicated partner-program page: 'We partner with the technology providers, advisors, and industry leaders... Tell us how you'd like to work together, and our partnerships team will be in touch.' Form-only; no partner email displayed (only footer legal/security/press mailboxes)."
partnership,Altana AI,Contact page,General inbox,info@altana.ai,https://www.altana.ai/contact,email,"General company inbox, published on the contact page (also in the footer of /partner). Peer-confirmed; re-verified this round. No partner-specific mailbox exists."
media,Altana AI,Contact page,Press,press@altana.ai,https://www.altana.ai/contact,email,"PRESS ONLY mailbox listed on the contact page. legal@altana.ai and security@altana.ai also verified present on the same page but omitted as non-BD (peer already holds them)."
