category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
licensing,MITRE,Technology Transfer Office (TTO),Tech transfer / IP licensing intake,techtransfer@mitre.org,https://www.mitre.org/our-impact/intellectual-property/augmented-reality-guidance-system-args,email,"Published as ""to inquire about licensing opportunities, contact our Technology Transfer Office at techtransfer@mitre.org"" - independently confirmed on 3 MITRE IP pages (ARGS, SAFER, UMAA Compliance Solution). Genuine mailto link."
venture,Noblis,Noblis Ventures,Ventures team intake,ventures@noblis.org,https://www.noblis.org/contact/,email,"Noblis Ventures Intake tab: ""a member of our Ventures team will contact you. Questions? Contact us at ventures@noblis.org."" Cloudflare-obfuscated in raw HTML; decoded from data-cfemail and independently re-confirmed via reader proxy. Confirms peer finding."
innovation,Noblis,Noblis corporate - general inquiries,General inquiries front door,answers@noblis.org,https://www.noblis.org/contact/,email,"Page header: ""Please select your inquiry type... Questions? Email us at answers@noblis.org."" General corporate routing mailbox, NOT Ventures-specific. Confirms peer finding."
licensing,Battelle,Battelle Technology Commercialization / IP licensing,Partnering and IP licensing,solutions@battelle.org,https://inside.battelle.org/blog-details/accelerating-innovation-how-to-increase-speed-and-reduce-risk-for-technology-transfer,email,"Battelle-published: ""Companies interested in partnering with Battelle for joint IP development, or purchasing or licensing existing IP, can contact us at solutions@battelle.org."" Best in-scope Battelle address found."
partnership,Battelle,Battelle Customer Experience,Commercial and government business inquiries,connect@battelle.org,https://www.battelle.org/contact,email,"Site-wide ""Customer Experience"" mailbox: ""commercial and government business inquiries, customer feedback, questions about Battelle"". General switchboard, not a scouting/ventures office. Confirms peer finding."
partnership,MITRE,National Security Engineering Center (NSEC) FFRDC,Defense & Intelligence program contact,NSEC@mitre.org,https://www.mitre.org/contact-us,email,"MITRE's DoD-focused FFRDC (sponsor listed as Department of War) program contact on the Work With Us page, alongside CAASD/HSSEDI/HealthFFRDC. Program contact, not a startup-scouting office."
partnership,MITRE,Government Relations,Government relations,GovernmentRelations@mitre.org,https://www.mitre.org/contact-us,email,"Listed in MITRE's specialized contact information on the Work With Us page. Policy/government-relations channel, adjacent to but not part of the partnership office."
partnership,MITRE,Contracts,Contracting / acquisition,contracts@mitre.org,https://www.mitre.org/contact-us,email,"MITRE contracts contact published on the Work With Us page. Contracting/procurement channel, not innovation or tech scouting."
partnership,MITRE,Media Relations,Press / media only,media@mitre.org,https://www.mitre.org/contact-us,email,"""For press and media inquiries, email us at media@mitre.org."" PRESS ONLY - not a business-development or partnering channel. Listed only for completeness."
partnership,Deloitte,Deloitte US Government & Public Services (GPS),"Jennifer J. Walcott, US National GPS Industry Leader",jwalcott@deloitte.com,https://www.deloitte.com/us/en/Industries/government-public.html,email,"Published mailto on Deloitte's federal/government-public page for the US National GPS Industry Leader (Deloitte Consulting LLP). Senior federal leadership contact, not the Deloitte Ventures/ecosystem partner program."
