category,org,unit_or_program,person_or_role,email,source_url,channel_type,notes
army-cso,Army Applications Laboratory (AAL),AAL public/media inquiries,Media inquiries (no name),media@aal.army,https://aal.mil/contact/,email,"LITERALLY published as media@aal.army (mailto href, also HTML-entity-encoded). Looks TRUNCATED - no '.mil' suffix anywhere on page; almost certainly intended as media@aal.army.mil. MEDIA inquiries only, NOT business development. Verify before use."
army-cso,Army Applications Laboratory (AAL),Whitepaper Submission Tool,n/a,,https://aal.mil/whitepapers/,portal,BEST AAL INDUSTRY/BUSINESS-DEVELOPMENT CHANNEL. 'Submit a Whitepaper' portal: submit whitepaper here so AAL can connect when relevant opportunities arise. Explicitly warns not to include classified/sensitive tech.
army-cso,Army Applications Laboratory (AAL),Solver network / opportunity alerts,n/a,,https://aal.mil/signup/,portal,"Sign up for AAL email list + 'Join our network'. AAL FAQ lists 3 ways to share tech: open opportunities, join network, or the BAA. Industry intake."
army-cso,Army Applications Laboratory (AAL),Test Range directory opt-in,n/a,,https://aal.mil/testrange/,portal,"Opt-in form for companies with commercial UAS/UGV/kinetic/EM test ranges. Niche - for test-site owners, not general BD."
army-cso,Army Applications Laboratory (AAL),Contact AAL web form,n/a,,https://aal.mil/contact/,portal,Web form. Purpose is explicitly WEBSITE FEEDBACK / 'encountered any issues with our site' / Join our Network. States 'AAL will reply to relevant inquiries only'. NOT a business-development form.
army-cso,Army Applications Laboratory (AAL),AAL BAA - Disruptive Technologies (W911NF-25-S-A2V2),AAL BAA POC,aal-baa@army.mil,https://sam.gov/opp/0a6918551b154e81ad8a43201a3dbefa/view,email,"Current AAL Broad Agency Announcement for Disruptive Technologies, SAM notice published 2025-05-01, place of performance Austin TX 78701. Listed as the AAL BAA primary point of contact. Official BAA questions mailbox - strong BD channel."
army-cso,Army Applications Laboratory (AAL),AAL BAA A2V2 special notice - white paper submissions,n/a,a2v2@aal.mil,https://sam.gov/opp/0a6918551b154e81ad8a43201a3dbefa/view,email,"Notice text: 'White papers must be submitted by the announcement deadline, via email to: a2v2@aal.mil' with subject 'A2V2 Special Notice'. This is a REAL SUBMISSION mailbox (aal.mil domain), not just a questions box."
army-cso,Army Applications Laboratory (AAL),AAL BAA CsUAS / CLPS special notice - white paper submissions,n/a,clps@aal.mil,https://sam.gov/opp/4c7dad6a34f84111a8318d74e2f302f3/view,email,"Notice W911NF-25-S-CsUAS (pub 2025-06-24): 'White papers must be submitted ... via email to: clps@aal.mil', subject 'CLPS Special Notice'. Also lists Rodolfo Estrada (rodolfo.estrada6.civ@army.mil) as POC. Real submission channel."
army-cso,Army Applications Laboratory (AAL),AAL Executive Director,"COL Russ Cummings, Executive Director",,https://aal.mil/about-us/,linkedin,Named leader from AAL official site 'Executive Profiles'. NO PUBLIC EMAIL published. AAL company LinkedIn page: https://www.linkedin.com/company/army-applications-laboratory/
army-cso,Army Applications Laboratory (AAL),AAL Deputy Director,"Zach Harrell, Deputy Director",,https://aal.mil/about-us/,linkedin,Named leader from AAL official site. NO PUBLIC EMAIL. LinkedIn path only.
army-cso,Army Applications Laboratory (AAL),AAL Director of Operations,"Paul Guelle, Director of Operations",,https://aal.mil/about-us/,linkedin,Named leader from AAL official site. NO PUBLIC EMAIL. LinkedIn path only.
army-cso,Army Applications Laboratory (AAL),AAL Director of Solutions Innovation,"Tom Mead, Director of Solutions Innovation",,https://aal.mil/about-us/,linkedin,Most BD-relevant AAL exec title (Solutions Innovation). NO PUBLIC EMAIL. LinkedIn path only.
