category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
partnership,Anduril Industries,Lattice Partner Program,General contact,contact@anduril.com,https://www.anduril.com/lattice/lattice-partner-program,email,"Anduril site-wide published contact address (footer/site settings); Lattice Partner Program page routes inquiries here - no dedicated partner mailbox published"
venture,Lockheed Martin,Lockheed Martin Ventures,Ventures team,zachary.t.ladonis@lmco.com,https://www.lockheedmartin.com/en-us/who-we-are/lockheed-martin-ventures/contact-lockheed-martin-ventures.html,email,"Address exposed in a commented-out debugEmail hidden field on the official LM Ventures contact page; genuine LM Ventures relay but comment-hidden, treat as a lead not a public mailbox"
portal,Lockheed Martin,Lockheed Martin Ventures,,,https://www.lockheedmartin.com/en-us/who-we-are/lockheed-martin-ventures/contact-lockheed-martin-ventures.html,portal,"Official LM Ventures contact form - the sanctioned pitch/intake channel for the venture arm"
media,Peraton,Media/External Communications,Dan Drummond - Head of External Communications,daniel.drummond@peraton.com,https://www.peraton.com/innovation/,email,"CORRECTED: the page labels this 'Media Contact' and his title is Head of External Communications - it is a COMMS/PRESS mailbox, not a technology-scouting contact. /innovation/ is an insight article, not an innovation-arm page. Peraton's real partner channel is the form at peraton.com/company/partnerships/"
venture,Noblis,Noblis Ventures,General,ventures@noblis.org,https://www.noblis.org/contact/,email,"Dedicated Noblis Ventures mailbox listed on the corporate contact page"
innovation,Noblis,Corporate,General,answers@noblis.org,https://www.noblis.org/contact/,email,"General inquiries mailbox on the corporate contact page"
innovation,Battelle,Corporate / partnerships,General,connect@battelle.org,https://www.battelle.org/contact,email,"General connect mailbox; Battelle commercialization and partnership intake"
partnership,Second Front Systems,Corporate,General,info@secondfront.com,https://secondfront.com/contact,email,"General inquiries mailbox"
partnership,Second Front Systems,Security,General,security@secondfront.com,https://secondfront.com/contact,email,"Security/vulnerability reporting only - not a BD channel"
partnership,Altana AI,Corporate,General,info@altana.ai,https://www.altana.ai/contact,email,"General inquiries mailbox"
licensing,Boeing,Intellectual Property Management (IPM),Licensing team,IPM-Licensing@boeing.com,https://www.boeing.com/licensing,email,"Boeing IP licensing inquiries - the real technology-transfer/licensing intake"
licensing,Boeing,Intellectual Property Management (IPM),Software licensing,IPM@boeing.com,https://www.boeing.com/licensing,email,"Boeing software licensing inquiries"
licensing,Boeing,Intellectual Property Management (IPM),Copyright/patent/licensing,ipmcpl@boeing.com,https://www.boeing.com/licensing,email,"Boeing copyright/patent/licensing questions"
partnership,Rebellion Defense,Corporate contact,General,inquiries@rebelliondefense.com,https://rebelliondefense.com/,email,"Contact-form recipient address published in the page source"
partnership,Hadrian,Sales / business development,Sales team,sales@hadrian.co,https://www.hadrian.co/contact,email,"Sales contact; Hadrian is a defense-industrial prime with its own supplier base"
innovation,ManTech,Commercial Services,General,Commercial.Services@mantech.com,https://www.mantech.com/contact-us,email,"Commercial services intake mailbox"
partnership,Kodiak Robotics,Defense business development,Defense team,defense@kodiak.ai,https://kodiak.ai/contact,email,"Dedicated defense BD mailbox published as a mailto link on the contact page"
partnership,Kodiak Robotics,Corporate,General,contact@kodiak.ai,https://kodiak.ai/contact,email,"General contact mailbox"
partnership,Forterra,Corporate,General,info@forterra.com,https://forterra.com/contact,email,"General and website-inquiry mailbox"
partnership,Arcfield,Corporate,General,contact@arcfield.com,https://www.arcfield.com/contact-us,email,"General corporate contact mailbox"
partnership,Mach Industries,Corporate,General,meet@machindustries.com,https://machindustries.com/contact,email,"Primary contact button mailbox on the contact page"
partnership,Mercury Systems,Corporate web inquiries,General,website@mrcy.com,https://www.mrcy.com/contact,email,"General website/corporate inquiry mailbox"
press,Palantir Technologies,Media relations,Press,media@palantir.com,https://www.palantir.com/contact,email,"Press/media inquiries only - NOT a partnership channel"
press,Altana AI,Media relations,Press,press@altana.ai,https://www.altana.ai/contact,email,"Press inquiries only"
press,Forterra,Media relations,Press,press@forterra.com,https://forterra.com/contact,email,"Press inquiries only"
press,Kodiak Robotics,Media relations,Press,press@kodiak.ai,https://kodiak.ai/contact,email,"Press inquiries only"
press,Hadrian,Media relations,Press,press@hadrian.co,https://www.hadrian.co/contact,email,"Press inquiries only"
partnership,Parsons,Cybersecurity,General,cybersecurity@parsons.com,https://www.parsons.com/contact-us/,email,"Cybersecurity business inquiries mailbox"
portal,Booz Allen Hamilton,Tech Ecosystem - Partner Ecosystem,,,https://www.boozallen.com/expertise/tech-ecosystem/partner-ecosystem.html,portal,"Booz Allen partner ecosystem program page; intake via form, no public email published"
portal,Booz Allen Hamilton,Booz Allen Ventures,,,https://www.boozallen.com/expertise/tech-ecosystem/ventures.html,portal,"Booz Allen Ventures page; no public email published"
