category,org,program_or_office,person_or_role,email,source_url,channel_type,notes
venture,Accenture / Accenture Federal Services,Technology/Ecosystem and Accenture Ventures (Newsroom PR contacts),Keerthi Goutham - PR contact for Technology/Ecosystem and Accenture Ventures,keerthi.goutham@accenture.com,https://newsroom.accenture.com/pr-contacts,email,"Published on Accenture's official PR-contacts page under 'TECHNOLOGY & ECOSYSTEMS'; address was Cloudflare-obfuscated in page HTML and decoded from that page. PR/communications contact covering the ecosystem + Accenture Ventures beat, NOT an investment partner or scouting lead."
venture,Booz Allen Hamilton,Booz Allen Ventures,,,https://www.boozallen.com/expertise/tech-ecosystem/ventures.html,portal,Booz Allen Ventures page; no public email published
venture,Lockheed Martin,Lockheed Martin Ventures,Ventures team,zachary.t.ladonis@lmco.com,https://www.lockheedmartin.com/en-us/who-we-are/lockheed-martin-ventures/contact-lockheed-martin-ventures.html,email,"Address exposed in a commented-out debugEmail hidden field on the official LM Ventures contact page; genuine LM Ventures relay but comment-hidden, treat as a lead not a public mailbox"
venture,Maximus,Maximus Ventures,Startup investment intake (Seed-Series C),,https://app.smartsheet.com/b/form/ce74181baf61418f8b2d06e1b83727d4,portal,Smartsheet application form linked from maximus.com/ventures. Maximus Ventures invests in Seed-Series C govtech startups with joint sales/product development potential. No email published anywhere on the page.
venture,MITRE Engenuity,MITRE Engenuity,UNRESOLVED - site unreachable,,https://mitre-engenuity.org/,portal,"mitre-engenuity.org returns HTTP 403 to both curl and the r.jina.ai reader proxy (Cloudflare challenge) in this session. No contact channel verified - recorded as unresolved, NOT as a confirmed contact. Do not treat as a live channel without re-verification."
venture,Noblis,Noblis Ventures,General,ventures@noblis.org,https://www.noblis.org/contact/,email,Dedicated Noblis Ventures mailbox listed on the corporate contact page
venture,Noblis,Noblis Ventures Intake,Ventures intake form,,https://www.noblis.org/contact/,portal,"Noblis Ventures intake tab asks ""Why do you think Noblis Ventures would be a good partner for your company? (1000 word max)"". Form is the primary channel; ventures@noblis.org also published there."
venture,SAIC,SAIC Ventures,-,,https://www.saic.com/saic-ventures,portal,No email published. Page content is delivered as an embedded Ceros experience (https://experience.saic.com/saic-ventures) containing only programme/portfolio narrative and podcast links; contact routes to SAIC's general form at https://www.saic.com/contact-us.
scouting,Booz Allen Hamilton,Tech Scouting team,-,,https://www.boozallen.com/expertise/tech-ecosystem/technology-scouting.html,portal,Booz Allen's Tech Scouting team scans for venture-backed/dual-use tech. No email published; the page's 'Contact Us' link routes to Booz Allen's general inquiry form at https://www.boozallen.com/tools/footer-navigation/contact-us.html which asks you to describe the nature of your request so it can be routed to the right team. Best available scouting intake.
scouting,General Dynamics,GD Mission Systems Innovation Sourcing Network / TechScout,Supplier and innovator registration,,https://gdmissionsystems.com/en/about-us/suppliers/innovation-sourcing-network/,portal,"ISN/TechScout (the GDMS open-innovation intake) has been folded into the GD Strategic Sourcing team; intake is now the GD Enterprise Supplier Registration Portal. Sits on the SBLO/procurement boundary - flagged, may overlap the other researcher."
scouting,Northrop Grumman,Idea Submissions policy,Closed - does not accept unsolicited IP,,https://www.northropgrumman.com/who-we-are/contact-us-northrop-grumman/idea-submissions,portal,"Official notice: Northrop Grumman does not accept unsolicited ideas, inventions or proposals. Do NOT pitch through the media mailboxes above - read this before outreach."
innovation,BAE Systems Inc.,FAST Labs + Technology Scouting Group - Deep-Tech Accelerator (with MassChallenge),Cohort application portal,,https://masschallenge.org/programs-baesystems_deep-tech/,portal,"THE most on-target BAE channel: FAST Labs and its Technology Scouting Group select deep-tech, dual-use startups (TRL4+, US or friendly). No email published - applications via MassChallenge. Page is the 2025 cohort; confirm the current cycle is open. Note: masschallenge.org returns HTTP 403 to curl/bot fetches (readable in a browser and via r.jina.ai)."
innovation,Boeing,Boeing Innovation / Phantom Works,No published email,,https://www.boeing.com/innovation,portal,"Live Boeing innovation landing page (Phantom Works, quantum, Cascade, accessibility). No contact email and no external partner intake published. Boeing HorizonX has no live page - every HorizonX/Boeing-ventures URL tested returned 404."
innovation,General Dynamics,GDIT Emerging Technology - emerging tech partners,Partner intake web form,,https://www.gdit.com/about-gdit/emerging-technology/,portal,"GDIT's page for working with early-stage companies, VC/accelerator networks and research institutions. Only contact route is GDIT's general web form - no partnership email published."
innovation,L3Harris,L3Harris general contact form,General inquiries web form,,https://www.l3harris.com/contact-us,portal,"L3Harris contact page is a web form (inquiry reason, contact details, upload). No innovation or partnership email is published anywhere on l3harris.com."
innovation,Lockheed Martin,LM Evolve (innovation org),No published email,,https://www.lockheedmartin.com/en-us/who-we-are/lm-evolve.html,portal,LM Evolve is Lockheed's innovation organisation. Its only contact route is the corporate Contact Us web form; no innovation/scouting email is published. Media Relations page shows email labels with no plaintext addresses.
innovation,ManTech,Commercial Services,General,Commercial.Services@mantech.com,https://www.mantech.com/contact-us,email,Commercial services intake mailbox
innovation,Maximus,Maximus Innovation Center,Innovation Center page,,https://www.maximus.com/maximus-innovation-center,portal,Maximus Innovation Center page carries no published email address; routes to the general Contact Us form. Note many /innovation-style URLs on maximus.com return a 404 page - use this exact URL.
innovation,RTX,RTX BBN Technologies,No published email,,https://www.bbn.com/contact/,portal,"BBN research org (AI/ML, cyber, quantum, networking). Contact and research pages publish no email - only corporate switchboard and forms."
innovation,SAIC,Innovation Factory / DOJO,-,,https://www.saic.com/innovation-factory/dojo/contact,portal,No email published. 'DOJO Contact Us' page embeds a form from SAIC's forms service (https://saic.forms-db.com/embed.php?id=14406). This is SAIC's innovation-factory intake channel.
partnership,Accenture Federal Services,AFS Commercial Technologies (partners and ventures),-,,https://www.accenture.com/us-en/industries/accenture-federal-services/commercial-technologies,portal,"No email on the page. Describes AFS's 'growing network of partners and ventures' and commercial dual-use portfolio, but offers no partner/scouting intake; the only route is Accenture's general contact form at https://www.accenture.com/us-en/about/contact-us."
