category,org,office_or_role,contact_method,detail,source_url
DoD Component OSBP,U.S. Central Command (CENTCOM),Small Business / industry outreach,No email published,CENTCOM's public contact page lists only media and community-relations mailboxes; no OSBP or industry mailbox is published. Community Relations phone (813) 529-0402.,https://www.centcom.mil/CONTACT/
DoD Component OSBP,National Reconnaissance Office (NRO),Small Business Programs,No email published,NRO Contact Us publishes only media@nro.mil and publicaffairs@nro.mil plus phone 703-808-5050. No small business office address found.,https://www.nro.gov/Contact-Us/
DoD Component OSBP,Defense Intelligence Agency (DIA),Office of Small Business Programs,No email published,DIA's OSBP / Doing Business pages render content via JavaScript and publish no email address; contact is via web form only.,https://www.dia.mil/About/Office-of-Small-Business-Programs/
DoD Component OSBP,National Geospatial-Intelligence Agency (NGA),Small Business Programs / Doing Business,No email published,NGA 'Doing Business' and 'Small Business Programs' pages publish no email address; NGA routes industry through its web forms and industry days.,https://www.nga.mil/about/Doing_Business.html
DoD Component OSBP,Defense Health Agency (DHA),Small Business Programs Office,No email published,DHA Small Business Programs Office page (health.mil / dha.mil) publishes no email address; contact via web form.,https://www.health.mil/About-MHS/OASDHA/OASDHA-Offices/Small-Business-Programs-Office
DoD Component OSBP,Defense Finance and Accounting Service (DFAS),Small Business Programs,No email published,DFAS 'Doing Business with DFAS' / Small Business pages publish no OSBP email; the only mailbox on the page is a paperwork-burden social-media inbox. Use the AskDFAS portal.,https://www.dfas.mil/Doing-Business-with-DFAS/Small-Business/
DoD Component OSBP,U.S. Transportation Command (TRANSCOM),Small Business / industry outreach,No email published,TRANSCOM contact page publishes only Transportation Policy and Customs mailboxes; no small business office address found.,https://www.ustranscom.mil/cmd/pa/contact.cfm
DoD Component OSBP,U.S. Marine Corps (HQMC / MARCORSYSCOM),Office of Small Business Programs,No email published,MARCORSYSCOM OSBP and Contact Us pages publish no email address; contact is via web form / phone.,https://www.marcorsyscom.marines.mil/Engagement-Opportunities/Office-of-Small-Business-Programs/Contact-Us/
DoD Component OSBP,U.S. Army Corps of Engineers (USACE) districts,District Small Business Offices (phone-only entries),Phone only,"The HQDA by-state directory lists these USACE districts with a phone number and no email: Sacramento & San Francisco (916) 557-7641, Wilmington (910) 251-4452, Jacksonville (904) 232-1150, Savannah (912) 652-5340, New Orleans (504) 862-2627, Baltimore (410) 962-2587, New England (978) 318-8427, Kansas City (816) 389-3927, New York (917) 790-8004, Norfolk (757) 201-7077, Walla Walla (509) 527-7434.",https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf
SBA,SBA district offices (all ~68),District office general contact,Web form,All district offices route through the SBA contact form: https://www.sba.gov/contact/contact_your_district_office?district=<N>,https://www.sba.gov/contact/contact_your_district_office
SBA,SBA Office of Small Business Development Centers (OSBDC),Program office,Phone only,No email published. Phone 202-205-6766.,https://www.sba.gov/about-sba/sba-locations/headquarters-offices
SBA,SBA Office of Women's Business Ownership,Program office,Phone only,No email published. Phone 202-205-6673.,https://www.sba.gov/about-sba/sba-locations/headquarters-offices
SBA,SBA Office of Native American Affairs,Program office,Phone only,No email published. Phone 202-205-7364.,https://www.sba.gov/about-sba/sba-locations/headquarters-offices
SBA,SBA Office of Government Contracting (HQ),GC headquarters,Postal / phone only,"409 3rd St. SW, 8th Floor, Washington DC 20416. No general GC mailbox published.",https://www.sba.gov/federal-contracting/contracting-assistance-programs
SBA,SBA Answer Desk,National customer service,Phone only,1-800-827-5722; ASL videophone 855-440-4960.,https://www.sba.gov/about-sba/organization/contact-sba/
APEX Accelerator,APEX Accelerator - Indiana (Indiana APEX),Program contact,Web form,Indiana APEX publishes a contact form rather than an email address on its site.,https://www.napex.us/location/indiana-apex-accelerator-central-hq/
APEX Accelerator,APEX Accelerator - Utah,Program contact,Web form,Utah APEX (business.utah.gov/apex/) publishes a contact form rather than an email address.,https://www.napex.us/location/utah-apex-accelerator/
APEX Accelerator,APEX Accelerator - North Carolina,Program contact,NOT FOUND,"No APEX Accelerator listing or program email could be located for North Carolina: the NAPEX national directory returns an empty result set for the state and candidate NC domains do not resolve. This is a genuine gap in the public directory, not a fetch failure.",https://www.napex.us/locations/
Other,DoD / OSD (business.defense.gov),Whole 'Federal Small Business Offices' directory page,Blocked to direct fetch,business.defense.gov is behind Akamai and returns 'Access Denied' to direct curl; the page content in this dataset was read via the r.jina.ai render of the same URL.,https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/
