org_name,website,stage,check_size,areas,twitter_handle,pitch_submission_url,contact_page_url,source,outreach_status
"10 VC","https://10vc.com/","Pre-seed","$250,000 - $1,000,000","B2B Enterprise SaaS/AI; SMB SaaS/AI","","","","airtable",pending
"137 Ventures","","Seed VC","","","","","","local",pending
"1517 Fund","https://www.1517fund.com/","Pre-seed","$100,000 - $1,000,000","SMB SaaS/AI; Hardware; DeepTech","","","","airtable",pending
"2048 Ventures","http://www.2048.vc/","Pre-seed, Seed","$500,000 - $2,000,000","Biotech; Digital Health; Vertical AI/SaaS; DeepTech","","","","airtable",pending
"645 Ventures","","All stages","$1M-$5M","","","","","mercury",pending
"8-Bit Capital","https://8bitcapital.com","Pre-Seed - Seed","","","8bitcapital","","","vcsheet",pending
"8VC","https://8vc.com","Pre-Seed - Series B+","","","8vc","","","vcsheet",pending
"Acequia Capital","https://acecap.com","Pre-Seed - Series A","","","","","","vcsheet",pending
"Activate Venture Partners","https://activatevp.com/team/","Seed","$1,500,000 - $2,500,000","Digital Health","","","","airtable",pending
"Active Capital","https://www.activecapital.com/","Pre-seed","$100,000 - $1,000,000","SMB SaaS/AI; AI/ML Infrastructure; IT Infrastructure; B2B Enterprise SaaS/AI","","","","airtable",pending
"Afore","https://www.afore.vc/","Pre-seed","$1,000,000 - $2,000,000","Agnostic","","","","airtable",pending
"Afore Capital","","Pre-seed, Seed, Series A","$850K-$2M","","","","","mercury",pending
"Air Street Capital","https://airstreet.com","Seed - Series A","","","airstreet","","","vcsheet",pending
"AIX Ventures","https://aixventures.com","Pre-Seed - Seed","","","aixventureshq","","","vcsheet",pending
"Alt Capital","https://altcap.com","Pre-Seed - Series A","","","","","","vcsheet",pending
"AME Cloud Ventures","https://amecloudventures.com","Seed - Series B+","","","AMECloudVC","","","vcsheet",pending
"American Family Ventures","https://www.amfamventures.com","Seed","$500,000 - $10,000,000","Insurtech; Real Estate tech; Digital Health; Aging Population","","","","airtable",pending
"Amplify Partners","https://amplifypartners.com","Seed - Series B+","","","amplifypartners","","","vcsheet",pending
"Analog Ventures","https://analog.vc/","Pre-seed","$400,000 - $1,000,000","SMB SaaS/AI; Vertical AI/SaaS; B2B Enterprise SaaS/AI","","","","airtable",pending
"Andreessen Horowitz","https://a16z.com","Seed - Series B+","","","a16z","","","vcsheet",pending
"ANIMO Ventures","https://animo.vc/","Pre-seed, Seed","$500,000 - $2,500,000","B2B Enterprise SaaS/AI; Marketplaces; IT Infrastructure; DevOps; Future of Work; Data Moats; Digital Health; Fintech","","","","airtable",pending
"Anthropocene Ventures","https://anthro.ventures/","Pre-seed, Seed","$200,000 - $750,000","ClimateTech","","","","airtable",pending
"Apertu Capital","http://www.apertucapital.com/","Seed, Pre-seed","$100,000 - $500,000","DevOps; AI/ML Infrastructure; IT Infrastructure; Data Moats; Cybersecurity; DeepTech; B2B Enterprise SaaS/AI; SMB SaaS/AI","","","","airtable",pending
"Aperture Venture Capital","https://www.aperturevc.com","Pre-seed, Seed","$1,000,000 - $1,500,000","Fintech; Vertical AI/SaaS; AI/ML Infrastructure","","","","airtable",pending
"Aphelion Capital","https://www.aphelioncapital.net/","Seed","$2,000,000 - $3,000,000","CardioHealth","","","","airtable",pending
"Argon","https://www.argon.vc/","Pre-seed","$250,000 - $500,000","SMB SaaS/AI; Team Productivity; Cybersecurity; Manufacturing tech","","","","airtable",pending
"Armory Square Ventures","https://www.armorysv.com/","Seed","$500,000 - $3,000,000","Mobile; SMB SaaS/AI; Services; B2B Enterprise SaaS/AI; Digital Health; Edtech; AgTech; Foodtech; Manufacturing tech; Energy; Fintech","","","","airtable",pending
"Array Ventures","https://array.vc","Pre-Seed - Series A","","","arrayvc","","","vcsheet",pending
